symbol	S1	S3	S4	S7	S8	S9	S6	R1	R3	R4	R6	R7	R9	R5	avgCounts	foldChange	log2FoldChange	pvalue	padj	log10padj	Tier
IGSF9	350.827406727399	385.281210121677	410.6674159556	481.316004646739	317.763898789664	294.603216788753	351.141665024378	973.5119566422	921.075694547554	728.548020407309	1313.60960652127	520.635547283138	920.534264611057	800.021701865152	626.395543566564	2.38498825634246	1.25398216243279	3.31E-09	2.02E-05	4.69423920185739	Top42
TMEM140	189.723334917537	187.340040416965	137.858710961534	192.245691244547	137.754658531437	127.067098608439	120.824944919822	71.1588350819957	36.397166343568	54.9362481691079	27.4303173771009	47.3638944386562	38.800485421734	81.6257526484822	103.609084220066	0.326430863093536	-1.61515062848782	3.74E-09	2.02E-05	4.69423920185739	Top42
DSN1	167.457775785581	107.774383756147	171.907841614205	205.52329817236	164.176542344068	123.907061142549	156.908168277084	291.491340909163	445.024689081603	310.734812153458	361.065086055861	276.522127584099	390.05106939542	274.844906975883	246.242078803392	2.14380649272734	1.10017468910642	2.71E-08	9.18E-05	4.0372962131881	Top42
WDPCP	105.374820017318	81.6296767638577	102.450107165244	69.4024913640742	111.887560185793	79.168755309187	65.2632457244597	203.452551158533	194.232104527558	284.505220426969	141.313265146742	184.441374874282	377.304648683737	223.492547592562	158.851312067165	2.62463843511473	1.39211869371419	3.4E-08	9.18E-05	4.0372962131881	Top42
CPZ	137.845432488149	83.6740975298273	145.289146245897	36.9168637178725	134.27868754699	311.146684800024	102.072414661222	36.3181023229205	27.6914935821719	10.9532980943594	23.1775573689032	39.3703680523922	29.6433751879	34.3141261069638	82.3351176932566	0.208728878500963	-2.26029787777304	9.71E-08	0.000149883877673	3.82424507972144	Top42
CTNNBL1	459.799742792589	232.564518138109	296.717100504981	340.595508795355	434.997624592099	325.40884061287	388.893689144667	771.246186006523	820.018695143335	570.308534962198	893.963450405544	840.781273482336	890.642305750887	523.758996254225	556.406890470409	2.14306955930307	1.09967867746801	8.4E-08	0.000149883877673	3.82424507972144	Top42
TPP1	1691.61855671347	944.091101349366	979.616778519038	1731.06600217213	1205.45941003625	1575.36646965716	1314.84880618906	735.497950925	609.196583822406	678.910103890188	804.493225530278	691.419712452811	530.401359094846	589.232783355582	1005.80134597911	0.490999359413806	-1.02620695256965	7.33E-08	0.000149883877673	3.82424507972144	Top42
IGFBP7	1170.5354631186	2208.59113546954	1570.5597519581	641.797473339686	1238.86345751249	2952.3217211933	1187.14496925698	420.894319097696	221.960759497329	231.585870753809	813.885766788743	403.240193280446	315.969337205198	574.000156026475	996.525026749885	0.27147710971174	-1.88109753625941	2.81E-07	0.000379320979518	3.42099313663609	Top42
PLCG2	113.480113870385	96.8095680181202	72.8074659268402	128.157970059148	91.1627089719737	83.9305892950673	123.126927595793	55.1349465632048	27.0044478491238	29.028648097339	12.2519060405829	49.5850759014017	39.4677097347282	24.5575244584284	67.6075430272955	0.330302655805175	-1.59813952519867	3.51E-07	0.000422049418795	3.37463669346142	Top42
UQCC1	393.832247901366	505.40455429521	274.371469356128	305.106001381672	264.796503602337	345.022716573952	323.565529234982	560.527975066278	1060.20777620891	665.699161504847	515.334489018528	1149.73409348709	841.415288619375	649.684533349004	561.050167114263	2.25784055076594	1.17494360624303	8.55E-07	0.000923469876033	3.03457726685699	Top42
INPP5D	257.820782597503	187.103616075698	280.227749943629	112.423744488798	151.583441612393	254.532252281284	186.377735083612	78.8455691765173	101.376981736652	92.9434091422187	36.0752921082154	52.9768728945151	106.472569658354	69.9085736539228	140.619185032379	0.374044770257119	-1.41871713503563	1.36E-06	0.001284952715134	2.89111285360445	Top42
RPRD1B	178.810755859312	139.630249218319	198.43733877575	213.217801263519	180.631511397476	187.101205604653	216.262956658216	288.25736121896	515.03813626686	342.265210517477	267.632562802702	475.614764343175	637.84073750776	323.045094172793	297.413263257641	2.17103308078391	1.11838170896516	1.43E-06	0.001284952715134	2.89111285360445	Top42
GNG11	104.695769740051	233.391268983002	121.942585800912	252.793503805584	122.785966129075	248.833003656727	119.084064861624	68.8145328301279	35.0562924003309	44.6306912480433	56.3075511160287	48.6311917833976	70.9018865478712	98.2678875569438	116.152585461408	0.349782402258023	-1.51547038657038	1.61E-06	0.001335961674201	2.87420600063419	Top42
MYO5A	157.788258609705	142.181106952727	108.729880098235	117.292788180178	176.885187352535	131.528241217078	144.082636295983	50.1196610077428	48.828612559604	103.790908951696	33.8800067517157	77.9872041043642	46.0674723674098	48.7506312164208	99.1366139760996	0.416056743924314	-1.26514779105121	2.25E-06	0.001632765525527	2.78707617795835	Top42
SELPLG	151.376391001754	110.809849071672	76.4662007429378	49.7807885123558	79.6247050256336	141.673062186988	107.39894094757	39.5594447562179	12.8639109912162	51.6921761274739	21.1756479743497	20.2114480399675	41.8885356139241	36.3193106223217	67.2028865438844	0.308974057180594	-1.69444238668701	2.27E-06	0.001632765525527	2.78707617795835	Top42
TACC1	427.068032667311	334.740959641783	412.445856514269	123.434462360577	455.513841865573	635.397998491581	310.902803829994	125.188035331077	126.388076984155	131.492445576177	93.8964983737382	158.965022664375	190.907240011601	193.132533307902	265.676700544294	0.376936449407137	-1.4076067858592	4.82E-06	0.002739131355811	2.56238714053323	Top42
ALOX5AP	243.880349428462	406.45085804647	63.2521570110042	95.514791236188	310.231920611487	301.666673182291	258.184398274359	102.100918299685	34.3341736780941	91.9702979392833	65.5380011467804	58.600712106509	36.5792560374949	82.9313197063337	153.65970190746	0.279563727026126	-1.83875090954706	5.28E-06	0.002851834897163	2.54487562094037	Top42
TARBP2	39.6853800979652	56.546278921944	16.8942188362538	22.9649383704631	34.5647429316494	19.1738730421989	25.1292999300212	67.3582768897698	107.95012402043	86.1718115699008	50.6833605783331	100.465440556789	86.0608314127122	78.0619598558748	56.550752643879	2.7154795986969	1.44120702438553	5.82E-06	0.002996607547509	2.52337013096543	Top42
CD4	620.736543281942	571.322568832557	398.367941454877	192.920456757243	441.580320783622	635.74802221571	368.770936990515	177.1297767958	74.4691673633292	254.198916754629	99.3510285357619	94.6621704527089	233.965032850265	201.186712182924	311.743542517992	0.350711448940115	-1.51164356689281	8.06E-06	0.003135960737768	2.50362938332096	Top42
CKB	508.119705274584	987.715729454518	468.172364823592	670.140983907707	555.899161442992	787.296028150082	475.037802863254	1387.47823857342	2536.72953931152	609.895470818384	1254.62167458964	1422.1841312319	1979.69343496981	1747.9022579889	1099.34903738574	2.4565592266109	1.29663902227957	8.21E-06	0.003135960737768	2.50362938332096	Top42
LINC01816	11.2962732930566	22.8691096138628	19.4803460002295	47.2747168163824	8.8914028324806	23.52449124637	38.4029050904967	144.311732514483	47.507189592849	110.104976919717	174.409486463446	63.7860049064321	63.7406426022271	54.0439125849858	59.2602278912156	3.87625040011647	1.95466176975657	8.64E-06	0.003135960737768	2.50362938332096	Top42
SLC15A3	305.182199925797	313.857465059401	310.100651367505	262.188554770558	364.717539349102	288.143711260676	211.913507571691	91.7184330989621	225.126027508858	140.938562262464	67.3726234558919	75.3720642985174	152.004884621377	125.909337963746	209.610397322468	0.426897121451063	-1.22803966029965	6.77E-06	0.003135960737768	2.50362938332096	Top42
STOM	787.882095467862	653.134156354613	562.004549138569	583.640909529586	818.680267433652	810.86901959195	509.955078056145	431.540099980926	196.459454055179	272.367000744143	412.182762682166	230.253542045028	265.991513156921	459.505456848222	499.604707506069	0.47944143868681	-1.06057348668398	7.64E-06	0.003135960737768	2.50362938332096	Top42
TRPM2	189.424067774802	72.8571657053791	62.4969387403883	34.3675523115277	110.785295221049	134.256054092569	89.8804109296487	24.4802441201481	16.6931020318254	58.1947643406592	14.8293313264946	27.1932720707537	32.3086138094481	26.1883943567565	63.8539433451035	0.284478348597476	-1.81360924045641	8.71E-06	0.003135960737768	2.50362938332096	Top42
ZNF738	42.6742376346433	26.7929163090464	64.0991556767091	55.086595554268	38.9711175649242	77.9609988086873	45.9489077634356	104.811918124029	185.459281032211	136.332735431757	135.276703652966	64.8883838081473	134.212186373483	104.72533246973	86.9457478717169	2.48029910436815	1.31051410866411	8.36E-06	0.003135960737768	2.50362938332096	Top42
MILR1	66.4115088636438	84.0974924289905	53.2050400145672	82.4501999755454	80.5427507407564	55.5356052283595	109.705691549916	52.3883665054982	6.25774411916881	24.6210026360882	11.1829734305464	23.0846274907218	26.3015167123247	17.6458386603424	49.5307398826049	0.298630100646003	-1.74356850455201	8.1E-06	0.003135960737768	2.50362938332096	Top42
NOL4L	430.347655857196	169.924886890991	298.179709872388	291.005384948227	358.595807855118	271.357235675091	317.021516293175	875.729804861716	941.979697098727	278.687268820273	762.078857881221	728.945075435518	735.855961645291	581.2240757355	502.923781347888	2.29591337339937	1.19906820903241	1E-05	0.003278285046666	2.48435328724752	Top42
PODN	391.151071137609	40.8769887037293	482.319667043098	50.732206391023	244.416122070668	955.104833958059	268.812085797824	76.7402404711682	50.4714618894556	29.8950022388515	54.8091868170306	114.564652525516	35.1991686504836	68.9168629392557	204.572110759555	0.176041681367767	-2.50601103884802	9.74E-06	0.003278285046666	2.48435328724752	Top42
HERC5	122.629123090644	137.416510728183	84.9298266652004	150.224408648683	161.274425774363	115.23970214131	124.119683493254	44.3403857712617	102.610378389254	59.9958486029057	57.9628665063947	61.5309417707786	41.2761103751191	53.3319998508025	94.0630151291538	0.468643491868748	-1.0934372469779	1.17E-05	0.003420640296291	2.46589259244735	Top42
TTI1	44.8455056324679	42.6158728903106	43.9556247365722	58.0575790886864	47.5105666158306	34.0035233639919	60.1982745246862	107.359986861329	110.4305839069	68.89295079108	94.6469476890563	88.4708561051062	132.156229941116	69.7631723527771	71.6362624642793	2.04652702829421	1.03317772044752	1.17E-05	0.003420640296291	2.46589259244735	Top42
ABHD5	165.767793806864	353.94494283578	228.268437998872	207.847312459871	238.63995559953	202.764072679883	166.980885601807	110.440467262068	83.0703428351009	148.707401977676	93.0873350469327	84.5838382684757	107.041952822899	142.883475441487	166.716301045518	0.490652628384257	-1.0272261063306	1.21E-05	0.003429419197788	2.46477942530821	Top42
